id;sex;age;height;weight;headband;college;tattoos;parrots;favorite.pirate;sword.type;eyepatch;sword.time;beard.length;fav.pixar
1;male;28;173,11;70,5;yes;JSSFP;9;0;Jack Sparrow;cutlass;1;0,58;16;Monsters, Inc.
2;male;31;209,25;105,6;yes;JSSFP;9;0;Jack Sparrow;cutlass;0;1,11;21;WALL-E
3;male;26;169,95;77,1;yes;CCCC;10;1;Jack Sparrow;cutlass;1;1,44;19;Inside Out
4;female;31;144,29;58,5;no;JSSFP;2;2;Jack Sparrow;scimitar;1;36,11;2;Inside Out
5;female;41;157,85;58,4;yes;JSSFP;9;4;Hook;cutlass;1;0,11;0;Inside Out
6;male;26;190,2;85,4;yes;CCCC;7;0;Jack Sparrow;cutlass;1;0,59;17;Monsters University
7;female;31;158,05;59,6;yes;JSSFP;9;7;Blackbeard;cutlass;0;3,01;1;Cars
8;female;31;172,52;74,5;yes;JSSFP;5;7;Hook;cutlass;1;0,06;1;Inside Out
9;female;28;164,57;68,7;yes;JSSFP;12;2;Anicetus;cutlass;0;0,74;1;Toy Story 3
10;male;30;183,52;84,7;yes;JSSFP;12;4;Jack Sparrow;cutlass;1;0,71;25;Monsters University
11;female;25;162,49;63,5;yes;CCCC;10;3;Blackbeard;cutlass;1;0,78;1;Inside Out
12;male;20;163,65;70;yes;CCCC;14;3;Jack Sparrow;cutlass;0;0,47;27;Monsters, Inc.
13;female;24;171,04;72,6;yes;CCCC;8;0;Lewis Scot;cutlass;0;0,53;0;Monsters, Inc.
14;male;26;177,99;78,2;yes;CCCC;9;3;Jack Sparrow;cutlass;1;1,33;19;Inside Out
15;female;45;167,65;65,4;yes;JSSFP;14;0;Hook;cutlass;1;0,33;0;Monsters University
16;female;40;165,1;65,7;yes;JSSFP;8;1;Hook;scimitar;1;27,56;1;The Incredibles
17;male;21;177,52;72,7;yes;CCCC;11;0;Jack Sparrow;cutlass;0;0,33;20;Finding Nemo
18;female;30;158,3;65,6;yes;JSSFP;7;3;Blackbeard;cutlass;0;1,55;0;Monsters, Inc.
19;female;35;173,07;72,8;yes;JSSFP;7;14;Hook;cutlass;0;0,72;0;Finding Nemo
20;male;26;175,45;69;yes;CCCC;14;3;Jack Sparrow;cutlass;0;0,4;27;WALL-E
21;male;22;187,83;85,8;yes;CCCC;10;6;Jack Sparrow;cutlass;0;0,5;12;Monsters, Inc.
22;female;34;179,06;82,1;no;JSSFP;5;4;Edward Low;cutlass;1;0,03;2;Ratatouille
23;male;23;158,66;53,5;yes;CCCC;13;1;Edward Low;cutlass;0;0,02;29;Finding Nemo
24;male;12;175,29;83;yes;CCCC;10;2;Jack Sparrow;cutlass;1;0,14;24;Up
25;male;35;187,48;85,6;yes;JSSFP;10;1;Jack Sparrow;sabre;1;11,23;17;Inside Out
26;female;26;153,54;54,6;yes;CCCC;10;3;Blackbeard;cutlass;1;1,1;0;Inside Out
27;male;15;171,48;66;no;CCCC;2;0;Jack Sparrow;banana;1;44,74;18;Inside Out
28;male;30;177,04;71,9;yes;JSSFP;15;4;Edward Low;cutlass;1;0,35;29;Inside Out
29;female;17;145,98;57,4;yes;CCCC;14;1;Hook;cutlass;0;0,18;0;Finding Nemo
30;female;26;134,87;37,9;yes;CCCC;12;10;Edward Low;cutlass;1;0,59;1;Monsters University
31;male;22;196,69;91,7;no;CCCC;2;1;Jack Sparrow;cutlass;1;2,19;17;Monsters University
32;male;22;181,95;79,4;yes;CCCC;15;2;Hook;cutlass;1;0,12;29;Monsters University
33;male;31;190,02;90,5;yes;JSSFP;13;1;Jack Sparrow;cutlass;1;0,29;24;Inside Out
34;female;30;162,6;61;yes;CCCC;13;6;Jack Sparrow;cutlass;1;1,26;0;Monsters, Inc.
35;male;23;178,24;75,1;yes;CCCC;17;1;Hook;cutlass;0;0,34;24;Brave
36;female;18;163,09;63,3;yes;CCCC;9;0;Jack Sparrow;cutlass;0;0,14;0;Monsters University
37;other;27;161,2;63,6;no;CCCC;0;1;Lewis Scot;scimitar;1;8,48;3;A Bug's Life
38;female;31;158,03;63;yes;JSSFP;8;2;Lewis Scot;cutlass;1;1,57;0;A Bug's Life
